"","Date","CHN_NewCases","CHN_Newdeaths","CHN_AcuCases","CHN_AcuDeaths","JAP_NewCases","JAP_Newdeaths","JAP_AcuCases","JAP_AcuDeaths","EU_NewCases","EU_Newdeaths","EU_AcuCases","EU_AcuDeaths","USA_NewCases","USA_Newdeaths","USA_AcuCases","USA_AcuDeaths","BTCUSDT"
"1",2019-12-31,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,7200.85
"2",2020-01-01,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,6965.71
"3",2020-01-02,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,7344.96
"4",2020-01-03,17,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,7354.11
"5",2020-01-04,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,7358.75
"6",2020-01-05,15,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,7758
"7",2020-01-06,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,8145.28
"8",2020-01-07,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,8055.98
"9",2020-01-08,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,7817.76
"10",2020-01-09,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,8197.02
"11",2020-01-10,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,8020.01
"12",2020-01-11,0,1,59,1,0,0,0,0,0,0,0,0,0,0,0,0,8184.98
"13",2020-01-12,0,0,59,1,0,0,0,0,0,0,0,0,0,0,0,0,8110.34
"14",2020-01-13,0,0,59,1,0,0,0,0,0,0,0,0,0,0,0,0,8810.01
"15",2020-01-14,0,0,59,1,0,0,0,0,0,0,0,0,0,0,0,0,8821.41
"16",2020-01-15,0,1,59,2,1,0,1,0,0,0,0,0,0,0,0,0,8720.01
"17",2020-01-16,0,0,59,2,0,0,1,0,0,0,0,0,0,0,0,0,8913.28
"18",2020-01-17,4,0,63,2,0,0,1,0,0,0,0,0,0,0,0,0,8915.96
"19",2020-01-18,17,0,80,2,0,0,1,0,0,0,0,0,0,0,0,0,8701.7
"20",2020-01-19,136,1,216,3,0,0,1,0,0,0,0,0,0,0,0,0,8642.35
"21",2020-01-20,19,0,235,3,0,0,1,0,0,0,0,0,0,0,0,0,8736.03
"22",2020-01-21,151,3,386,6,0,0,1,0,0,0,0,0,1,0,1,0,8682.36
"23",2020-01-22,140,11,526,17,0,0,1,0,0,0,0,0,0,0,1,0,8404.52
"24",2020-01-23,97,0,623,17,0,0,1,0,0,0,0,0,0,0,1,0,8439
"25",2020-01-24,259,9,882,26,1,0,2,0,0,0,0,0,0,0,1,0,8340.58
"26",2020-01-25,441,15,1323,41,0,0,2,0,3,0,3,0,1,0,2,0,8615
"27",2020-01-26,665,15,1988,56,1,0,3,0,0,0,3,0,0,0,2,0,8907.57
"28",2020-01-27,787,25,2775,81,0,0,3,0,0,0,3,0,3,0,5,0,9374.21
"29",2020-01-28,1753,25,4528,106,1,0,4,0,1,0,4,0,0,0,5,0,9301.53
"30",2020-01-29,1466,26,5994,132,3,0,7,0,4,0,8,0,0,0,5,0,9513.21
"31",2020-01-30,1740,38,7734,170,4,0,11,0,2,0,10,0,0,0,5,0,9352.89
"32",2020-01-31,1980,43,9714,213,3,0,14,0,5,0,15,0,1,0,6,0,9384.61
"33",2020-02-01,2095,46,11809,259,1,0,15,0,7,0,22,0,1,0,7,0,9331.51
"34",2020-02-02,2590,45,14399,304,4,0,19,0,1,0,23,0,1,0,8,0,9292.24
