"","dateRep","casosSum","decSum","AcumuladoCasos","AcumuladoDecesos","BTCUSDT"
"1",2019-12-31,27,0,27,0,7200.85
"2",2020-01-01,0,0,27,0,6965.71
"3",2020-01-02,0,0,27,0,7344.96
"4",2020-01-03,17,0,44,0,7354.11
"5",2020-01-04,0,0,44,0,7358.75
"6",2020-01-05,15,0,59,0,7758
"7",2020-01-06,0,0,59,0,8145.28
"8",2020-01-07,0,0,59,0,8055.98
"9",2020-01-08,0,0,59,0,7817.76
"10",2020-01-09,0,0,59,0,8197.02
"11",2020-01-10,0,0,59,0,8020.01
"12",2020-01-11,0,1,59,1,8184.98
"13",2020-01-12,0,0,59,1,8110.34
"14",2020-01-13,1,0,60,1,8810.01
"15",2020-01-14,1,0,61,1,8821.41
"16",2020-01-15,1,1,62,2,8720.01
"17",2020-01-16,0,0,62,2,8913.28
"18",2020-01-17,5,0,67,2,8915.96
"19",2020-01-18,17,0,84,2,8701.7
"20",2020-01-19,136,1,220,3,8642.35
"21",2020-01-20,20,0,240,3,8736.03
"22",2020-01-21,153,3,393,6,8682.36
"23",2020-01-22,142,11,535,17,8404.52
"24",2020-01-23,97,0,632,17,8439
"25",2020-01-24,266,9,898,26,8340.58
"26",2020-01-25,453,15,1351,41,8615
"27",2020-01-26,673,15,2024,56,8907.57
"28",2020-01-27,797,25,2821,81,9374.21
"29",2020-01-28,1767,25,4588,106,9301.53
"30",2020-01-29,1480,26,6068,132,9513.21
"31",2020-01-30,1757,38,7825,170,9352.89
"32",2020-01-31,2001,43,9826,213,9384.61
"33",2020-02-01,2121,46,11947,259,9331.51
"34",2020-02-02,2608,46,14555,305,9292.24
"35",2020-02-03,2818,57,17373,362,9197.02
"36",2020-02-04,3243,65,20616,427,9612.04
"37",2020-02-05,3909,66,24525,493,9772
"38",2020-02-06,3751,72,28276,565,9813.73
"39",2020-02-07,3218,73,31494,638,9895.05
"40",2020-02-08,3442,86,34936,724,10151.75
"41",2020-02-09,2618,89,37554,813,9851.83
"42",2020-02-10,2992,97,40546,910,10223.08
"43",2020-02-11,2563,108,43109,1018,10326.46
"44",2020-02-12,2072,97,45181,1115,10229.63
"45",2020-02-13,15151,255,60332,1370,10344.36
"46",2020-02-14,4215,13,64547,1383,9904.72
"47",2020-02-15,2560,144,67107,1527,9917.27
"48",2020-02-16,2162,142,69269,1669,9706
"49",2020-02-17,2067,106,71336,1775,10164.71
"50",2020-02-18,1995,98,73331,1873,9593.79
"51",2020-02-19,1864,139,75195,2012,9596.42
"52",2020-02-20,532,116,75727,2128,9677.05
"53",2020-02-21,996,119,76723,2247,9650.86
"54",2020-02-22,1085,112,77808,2359,9936.4
"55",2020-02-23,1010,104,78818,2463,9656.13
"56",2020-02-24,523,156,79341,2619,9315.84
"57",2020-02-25,795,79,80136,2698,8785.25
"58",2020-02-26,867,64,81003,2762,8823.21
"59",2020-02-27,1114,38,82117,2800,8692.91
"60",2020-02-28,1271,57,83388,2857,8523.61
"61",2020-02-29,1860,64,85248,2921,8531.88
"62",2020-03-01,1843,58,87091,2979,8915.24
"63",2020-03-02,2068,67,89159,3046,8760.07
"64",2020-03-03,1858,72,91017,3118,8750.87
"65",2020-03-04,2315,84,93332,3202,9054.68
"66",2020-03-05,2357,80,95689,3282,9131.88
"67",2020-03-06,3060,102,98749,3384,8886.66
"68",2020-03-07,4120,104,102869,3488,8033.31
"69",2020-03-08,3980,97,106849,3585,7929.87
"70",2020-03-09,4177,228,111026,3813,7894.56
"71",2020-03-10,4820,209,115846,4022,7934.52
"72",2020-03-11,5117,272,120963,4294,4800
"73",2020-03-12,7922,345,128885,4639,5578.6
"74",2020-03-13,9475,350,138360,4989,5172.06
"75",2020-03-14,10464,443,148824,5432,5361.3
"76",2020-03-15,12191,367,161015,5799,5028.97
"77",2020-03-16,12489,751,173504,6550,5312.64
"78",2020-03-17,14238,607,187742,7157,5393.04
"79",2020-03-18,17094,811,204836,7968,6162.37
"80",2020-03-19,20289,963,225125,8931,6208.36
"81",2020-03-20,31204,1075,256329,10006,6186.98
"82",2020-03-21,31985,1387,288314,11393,5816.19
"83",2020-03-22,34234,1716,322548,13109,6467.31
"84",2020-03-23,34270,1691,356818,14800,6744.72
"85",2020-03-24,44560,1854,401378,16654,6677.43
"86",2020-03-25,42544,2316,443922,18970,6737.36
"87",2020-03-26,53825,2645,497747,21615,6359.11
"88",2020-03-27,61109,2814,558856,24429,6236.65
"89",2020-03-28,65192,3492,624048,27921,5881.42
"90",2020-03-29,62847,3590,686895,31511,6394.38
"91",2020-03-30,57369,3231,744264,34742,6410.44
"92",2020-03-31,64722,3993,808986,38735,6642.92
"93",2020-04-01,74847,4677,883833,43412,6794.09
"94",2020-04-02,77636,5016,961469,48428,6734.1
"95",2020-04-03,77647,5026,1039116,53454,6856.99
"96",2020-04-04,82003,6786,1121119,60240,6772.78
"97",2020-04-05,85274,6299,1206393,66539,7329.9
"98",2020-04-06,66262,4772,1272655,71311,7197.32
"99",2020-04-07,73306,5345,1345961,76656,7361.28
"100",2020-04-08,77348,7576,1423309,84232,7283.54
"101",2020-04-09,85091,6572,1508400,90804,6858.92
"102",2020-04-10,87409,7425,1595809,98229,6876.83
"103",2020-04-11,89630,7015,1685439,105244,6903.79
"104",2020-04-12,75356,6064,1760795,111308,6837.91
"105",2020-04-13,68521,5334,1829316,116642,6868.7
"106",2020-04-14,65259,5390,1894575,122032,6621.24
"107",2020-04-15,76975,7619,1971550,129651,7101.94
"108",2020-04-16,78819,10491,2050369,140142,7027.55
"109",2020-04-17,84428,8527,2134797,148669,7248.6
"110",2020-04-18,82272,8463,2217069,157132,7120.74
"111",2020-04-19,79693,6373,2296762,163505,6826.83
"112",2020-04-20,70507,4988,2367269,168493,6841.37
"113",2020-04-21,74666,5450,2441935,173943,7125.14
"114",2020-04-22,87310,7243,2529245,181186,7482.39
"115",2020-04-23,66604,5935,2595849,187121,7505
"116",2020-04-24,78789,7335,2674638,194456,7538.67
"117",2020-04-25,73149,5359,2747787,199815,7693.1
"118",2020-04-26,99848,6161,2847635,205976,7774.62
"119",2020-04-27,81832,3912,2929467,209888,7738.98
